REGROUPEMENT 1,REGROUPEMENT 2,REGROUPEMENT 3,REGROUPEMENT 4,REGROUPEMENT 5,REGROUPEMENT 6,REGROUPEMENT 7,REGROUPEMENT 8,REGROUPEMENT 9,REGROUPEMENT 10,REGROUPEMENT 11,REGROUPEMENT 12,REGROUPEMENT 13,REGROUPEMENT 14,REGROUPEMENT 15
"Circonscriptions de :
Dunkerque Centre 
Dunkerque Bergues
Dunkerque Saint Pol
Dunkerque Gravelines","Circonscriptions de :
Dunkerque Hazebrouck
Dunkerque Wormhout","Circonscriptions de :
Lille 2 Armentières
Dunkerque Bailleul","Circonscriptions de :
Lille 2 Lomme
Lille 1 Nord
Lille 1 Centre
Lille 1 Sud
Lille 1 Hellemmes","Circonscriptions de :
Tourcoing Roncq
Tourcoing Ouest
Tourcoing Est
Lille 1 Lambersart","Circonscriptions de :
Roubaix Centre
Roubaix Wasquehal
Roubaix Est
Roubaix Ouest
Lille 1 Marcq","Circonscriptions de :
Roubaix Hem
Roubaic Wattrelos
Lille 3 Villeneuve d'Ascq Nord
Lille 3 Villeneuve d'Ascq Sud
Lille 3 Ronchin
","Circonscriptions de :
Lille 2 Loos
Lille 2 Annoeullin
Lille 3 Seclin
Lille 3 Wattignies","Circonscriptions de :
Douai Centre
Douai Cuincy
Douai Waziers","Circonscriptions de :
Douai Rieulay
Valenciennes Saint Amand
Valenciennes Condé
Valenciennes Anzin","Circonscriptions de :
Valenciennes Denain
Valenciennes Saint Saulve
Valenciennes Centre
Valenciennes Bruay","Circonscriptions de :
Douai Cantin
Valenciennes Escaudain ","Circonscriptions de :
Cambrai Centre
Cambrai Sud","Circonscriptions de :
Cambrai Le Cateau
Avesnes Aulnoye
Avesnes Fourmies","Circonscriptions de :
Avesnes Le Quesnoy
Avesnes Maubeuge 
Avesnes Jeumont "
ARMBOUTS-CAPPEL,ARNEKE,ARMENTIERES,CAPINGHEM,BOUSBECQUE,BONDUES,ANSTAING,ALLENNES-LES-MARAIS,ANHIERS,AIX,ARTRES,ABSCON,ABANCOURT,ANOR,AIBES
BAMBECQUE,BAVINCHOVE,BAILLEUL,COMINES,HALLUIN,CROIX,BACHY,ANNOEULLIN,AUBY,ANZIN,AULNOY-LEZ-VALENCIENNES,ANICHE,AUBENCHEUL-AU-BAC,AULNOYE-AYMERIES,ASSEVENT
BERGUES,BLARINGHEM,BERTHEN,LILLE ,LAMBERSART,LA MADELEINE,BAISIEUX,ATTICHES,COURCHELETTES,AUBRY-DU-HAINAUT,BRUAY-SUR-L'ESCAUT,ARLEUX,AWOINGT,AVESNELLES,BAVAY
BIERNE,BOESEGHEM,BOESCHEPE,LOMPRET,LINSELLES,MARCQ-EN-BAROEUL,BOURGHELLES,AUBERS,CUINCY,AUCHY-LEZ-ORCHIES,CRESPIN,AUBERCHICOURT,BANTEUX,AVESNES-LES-AUBERT,BEAUDIGNIES
BRAY-DUNES,BOLLEZEELE,BOIS-GRENIER,PERENCHIES,MARQUETTE-LEZ-LILLE,MOUVAUX,BOUVINES,AVELIN,DOUAI,BELLAING,CURGIES,AUBIGNY-AU-BAC,BANTIGNY,AVESNES-SUR-HELPE,BELLIGNIES
CAPPELLE-LA-GRANDE,BORRE,DEULEMONT,PREMESQUES,NEUVILLE-EN-FERRAIN,ROUBAIX,CAMPHIN-EN-PEVELE,BAUVIN,ESQUERCHIN,BEUVRAGES,DENAIN,AVESNES-LE-SEC,BANTOUZELLE,BACHANT,BERMERIES
COUDEKERQUE-BRANCHE,BOURBOURG,ERQUINGHEM-LYS,QUESNOY-SUR-DEULE,RONCQ,WASQUEHAL,CHERENG,BEAUCAMPS-LIGNY,FAUMONT,BEUVRY-LA-FORET,ESCAUTPONT,BOUCHAIN,BEAUMONT-EN-CAMBRESIS,BAZUEL,BEUGNIES
CRAYWICK,BROUCKERQUE,ESTAIRES,VERLINGHEM,SAINT-ANDRE-LEZ-LILLE,,COBRIEUX,BERSEE,FERIN,BOUSIGNIES,ESTREUX,BRUNEMONT,BEAUVOIS-EN-CAMBRESIS,BEAUFORT,BOUSIES
CROCHTE,BROXEELE,FLETRE,WERVICQ-SUD,TOURCOING,,CYSOING,CAMPHIN-EN-CAREMBAULT,FLERS-EN-ESCREBIEUX,BOUVIGNIES,FAMARS,BUGNICOURT,BERTRY,BEAUREPAIRE-SUR-SAMBRE,BOUSSOIS
DUNKERQUE,BUYSSCHEURE,FRELINGHIEN,,WAMBRECHIES,,FOREST-SUR-MARQUE,CAPPELLE-EN-PEVELE,FLINES-LEZ-RACHES,BRILLON,HAULCHIN,CANTIN,BETHENCOURT,BERLAIMONT,CERFONTAINE
ERINGHEM,CAESTRE,HOUPLINES,,,,FRETIN,CARNIN,LALLAING,BRUILLE-LEZ-MARCHIENNES,LA SENTINELLE,DECHY,BEVILLERS,BERMERAIN,CLAIRFAYTS
GHYVELDE-LES MOERES,CAPPELLE-BROUCK,LA CHAPELLE-D'ARMENTIERES,,,,GENECH,CHEMY,LAMBRES-LES-DOUAI,BRUILLE-SAINT-AMAND,LOURCHES,DOUCHY-LES-MINES,BLECOURT,BOULOGNE-SUR-HELPE,COLLERET
GRANDE-SYNTHE,CASSEL,LA GORGUE,,,,GRUSON,DON,LAUWIN-PLANQUE,CHATEAU-L'ABBAYE,MAING,ECAILLON,BOURSIES,BOUSSIERES-EN-CAMBRESIS,COUSOLRE
GRAND-FORT-PHILIPPE,DRINCHAM,LE DOULIEU,,,,HEM,EMMERIN,MONTIGNY-EN-OSTREVENT,CONDE-SUR-L'ESCAUT,MARLY,EMERCHICOURT,CAGNONCLES,BOUSSIERES-SUR-SAMBRE,DIMECHAUX
GRAVELINES,EBBLINGHEM,MERRIS,,,,LEERS,ENGLOS,PECQUENCOURT,COUTICHES,NEUVILLE-SUR-ESCAUT,ERCHIN,CAMBRAI,BRIASTRE,DIMONT
HONDSCHOOTE,EECKE,MERVILLE,,,,LESQUIN,ENNETIERES-EN-WEPPES,RACHES,ERRE,ONNAING,ESCAUDAIN,CANTAING-SUR-ESCAUT,BUSIGNY,ELESMES
HOYMILLE,ESQUELBECQ,METEREN,,,,LEZENNES,ENNEVELIN,RAIMBEAUCOURT,FENAIN,PRESEAU,ESTREES,CARNIERES,CARTIGNIES,ENGLEFONTAINE
KILLEM,GODEWAERSVELDE,NEUF-BERQUIN,,,,LOUVIL,ERQUINGHEM-LE-SEC,ROOST-WARENDIN,FLINES-LES-MORTAGNE,PROUVY,FECHAIN,CATTENIERES,CATILLON-SUR-SAMBRE,EPPE-SAUVAGE
LEFFRINCKOUCKE,HARDIFORT,NIEPPE,,,,LYS-LEZ-LANNOY,FACHES-THUMESNIL,SIN-LE-NOBLE,FRESNES-SUR-ESCAUT,QUAROUBLE,FRESSAIN,CAUDRY,DOMPIERRE-SUR-HELPE,FEIGNIES
LOON-PLAGE,HAVERSKERQUE,SAINT-JANS-CAPPEL,,,,MONS-EN-BAROEUL,FOURNES-EN-WEPPES,VRED,HASNON,QUERENAING,GOEULZIN,CAULLERY,DOURLERS,FELLERIES
OOST-CAPPEL,HAZEBROUCK,STEENWERCK,,,,PERONNE-EN-MELANTOIS,FROMELLES,WAZIERS,HAVELUY,QUIEVRECHAIN,GUESNAIN,CAUROIR,ECLAIBES,FERRIERE-LA-GRANDE
PITGAM,HERZEELE,VIEUX-BERQUIN,,,,RONCHIN,GONDECOURT,,HERGNIES,ROEULX,HAMEL,CLARY,ESCARMAIN,FERRIERE-LA-PETITE
QUAEDYPRE,HOLQUE,,,,,SAILLY-LEZ-LANNOY,HALLENNES-LEZ-HAUBOURDIN,,HERIN,ROMBIES-ET-MARCHIPONT,HASPRES,CREVECOEUR-SUR-L'ESCAUT,ESTRUN,FRASNOY
REXPOEDE,HONDEGHEM,,,,,TOUFFLERS,HANTAY,,HORNAING,ROUVIGNIES,HELESMES,DOIGNIES,ESWARS,GHISSIGNIES
SOCX,HOUTKERQUE,,,,,TRESSIN,HAUBOURDIN,,LANDAS,SAINT-SAULVE,HORDAIN,ELINCOURT,ETROEUNGT,GOGNIES-CHAUSSEE
STEENE,LEDERZEELE,,,,,VILLENEUVE D'ASCQ,HERLIES,,LECELLES,SAULTAIN,LECLUSE,ESCAUDOEUVRES,FERON,GOMMEGNIES
TETEGHEM-COUDEKERQUE-VILLAGE,LEDRINGHEM,,,,,WANNEHAIN,HERRIN,,MARCHIENNES,SEBOURG,LEWARDE,ESNES,FLAUMONT-WAUDRECHIES,HARGNIES
UXEM,LOOBERGHE,,,,,WATTRELOS,HOUPLIN-ANCOINE,,MAULDE,THIANT,LIEU-SAINT-AMAND,ESTOURMEL,FLOYON,HON-HERGIES
WARHEM,LYNDE,,,,,WILLEMS,ILLIES,,MILLONFOSSE,TRITH-SAINT-LEGER,LOFFRE,FLESQUIERES,FONTAINE-AU-BOIS,HOUDAIN-LEZ-BAVAY
WEST-CAPPEL,MERCKEGHEM,,,,,,LA BASSEE,,MORTAGNE-DU-NORD,VALENCIENNES,MARCQ-EN-OSTREVENT,FONTAINE-AU-PIRE,FOREST-EN-CAMBRESIS,JENLAIN
ZUYDCOOTE,MILLAM,,,,,,LA NEUVILLE,,MOUCHIN,VERCHAIN-MAUGRE,MARQUETTE-EN-OSTREVANT,FONTAINE-NOTRE-DAME,FOURMIES,JEUMONT
,MORBECQUE,,,,,,LE MAISNIL,,NIVELLE,VICQ,MASNY,FRESSIES,GLAGEON,JOLIMETZ
,NIEURLET,,,,,,LOOS,,NOMAIN,WAVRECHAIN-SOUS-DENAIN,MASTAING,GONNELIEU,GRAND-FAYT,LA LONGUEVILLE
,NOORDPEENE,,,,,,MARQUILLIES,,ODOMEZ,,MONCHECOURT,GOUZEAUCOURT,HAUSSY,LE QUESNOY
,OCHTEZEELE,,,,,,MERIGNIES,,OISY,,NOYELLES-SUR-SELLE,HAYNECOURT,HAUT-LIEU,LEZ-FONTAINE
,OUDEZEELE,,,,,,MONCHEAUX,,ORCHIES,,ROUCOURT,HEM-LENGLET,HAUTMONT,LIESSIES
,OXELAERE,,,,,,MONS-EN-PEVELE,,PETITE-FORET,,VILLERS-AU-TERTRE,HONNECHY,IWUY,LOUVIGNIES-QUESNOY
,PRADELLES,,,,,,NOYELLES-LES-SECLIN,,RAISMES,,WASNES-AU-BAC,HONNECOURT-SUR-ESCAUT,LA GROISE,LOUVROIL
,RENESCURE,,,,,,OSTRICOURT,,RIEULAY,,WAVRECHAIN-SOUS-FAULX,INCHY,LANDRECIES,MAIRIEUX
,RUBROUCK,,,,,,PHALEMPIN,,ROSULT,,,LES RUES-DES-VIGNES,LE CATEAU-CAMBRESIS,MARESCHES
,SAINTE-MARIE-CAPPEL,,,,,,PONT-A-MARCQ,,RUMEGIES,,,LESDAIN,LE FAVRIL,MARPENT
,SAINT-GEORGES-SUR-L'AA,,,,,,PROVIN,,SAINT-AMAND-LES-EAUX,,,LIGNY-EN-CAMBRESIS,LEVAL,MAUBEUGE
,SAINT-MOMELIN,,,,,,RADINGHEM-EN-WEPPES,,SAINT-AYBERT,,,MALINCOURT,LIMONT-FONTAINE,MECQUIGNIES
,SAINT-PIERRE-BROUCK,,,,,,SAINGHIN-EN-WEPPES,,SAMEON,,,MARCOING,MARBAIX,NEUVILLE-EN-AVESNOIS
,SAINT-SYLVESTRE-CAPPEL,,,,,,SALOME,,SARS-ET-ROSIERES,,,MARETZ,MAROILLES,OBIES
,SERCUS,,,,,,SANTES,,SOMAIN,,,MASNIERES,MAZINGHIEN,OBRECHIES
,SPYCKER,,,,,,SECLIN,,THIVENCELLE,,,MAUROIS,MONCEAU-SAINT-WAAST,POIX-DU-NORD
,STAPLE,,,,,,SEQUEDIN,,THUN-SAINT-AMAND,,,MOEUVRES,MONTAY,PREUX-AU-BOIS
,STEENBECQUE,,,,,,TEMPLEMARS,,TILLOY-LEZ-MARCHIENNES,,,MONTIGNY-EN-CAMBRESIS,NAVES,RECQUIGNIES
,STEENVOORDE,,,,,,TEMPLEUVE-EN-PEVELE,,VIEUX-CONDE,,,NEUVILLE-SAINT-REMY,NEUF-MESNIL,ROUSIES
,STRAZEELE,,,,,,THUMERIES,,WALLERS-ARENBERG,,,NIERGNIES,NEUVILLY,SAINT-WAAST-LA-VALLEE
,TERDEGHEM,,,,,,TOURMIGNIES,,WANDIGNIES-HAMAGE,,,NOYELLES-SUR-ESCAUT,NOYELLES-SUR-SAMBRE,SALESCHES
,THIENNES,,,,,,VENDEVILLE,,WARLAING,,,PROVILLE,OHAIN,SARS-POTERIES
,VOLCKERINCKHOVE,,,,,,WAHAGNIES,,,,,QUIEVY,ORS,SEPMERIES
,WALLON-CAPPEL,,,,,,WATTIGNIES,,,,,RAILLENCOURT-SAINTE-OLLE,PAILLENCOURT,SOLRE-LE-CHATEAU
,WATTEN,,,,,,WAVRIN,,,,,RAMILLIES,POMMEREUIL,TAISNIERES-SUR-HON
,WEMAERS-CAPPEL,,,,,,WICRES,,,,,RIBECOURT-LA-TOUR,PONT-SUR-SAMBRE,VENDEGIES-AU-BOIS
,WINNEZEELE,,,,,,,,,,,RUMILLY-EN-CAMBRESIS,PRISCHES,VIEUX-RENG
,WORMHOUT,,,,,,,,,,,SANCOURT,REJET-DE-BEAULIEU,VILLEREAU
,WYLDER,,,,,,,,,,,SERANVILLERS-FORENVILLE,REUMONT,VILLERS-POL
,ZEGERSCAPPEL,,,,,,,,,,,TILLOY-LEZ-CAMBRAI,RIEUX-EN-CAMBRESIS,VILLERS-SIRE-NICOLE
,ZERMEZEELE,,,,,,,,,,,VILLERS-GUISLAIN,SAINS-DU-NORD,WARGNIES-LE-GRAND
,ZUYTPEENE,,,,,,,,,,,VILLERS-OUTREAUX,SAINT-AUBERT,WARGNIES-LE-PETIT
,,,,,,,,,,,,VILLERS-PLOUICH,SAINT-HILAIRE-LEZ-CAMBRAI,WATTIGNIES-LA-VICTOIRE
,,,,,,,,,,,,WALINCOURT-SELVIGNY,SAINT-HILAIRE-SUR-HELPE,
,,,,,,,,,,,,WAMBAIX,SAINT-MARTIN-SUR-ECAILLON,
,,,,,,,,,,,,,SAINT-PYTHON,
,,,,,,,,,,,,,SAINT-REMY-CHAUSSEE,
,,,,,,,,,,,,,SAINT-REMY-DU-NORD,
,,,,,,,,,,,,,SAINT-SOUPLET,
,,,,,,,,,,,,,SAINT-VAAST-EN-CAMBRESIS,
,,,,,,,,,,,,,SAULZOIR,
,,,,,,,,,,,,,SEMERIES,
,,,,,,,,,,,,,SOLESMES,
,,,,,,,,,,,,,TAISNIERES-EN-THIERACHE,
,,,,,,,,,,,,,THUN-L'EVEQUE,
,,,,,,,,,,,,,THUN-SAINT-MARTIN,
,,,,,,,,,,,,,TRELON,
,,,,,,,,,,,,,TROISVILLES,
,,,,,,,,,,,,,VENDEGIES-SUR-ECAILLON,
,,,,,,,,,,,,,VERTAIN,
,,,,,,,,,,,,,VIESLY,
,,,,,,,,,,,,,VIEUX-MESNIL,
,,,,,,,,,,,,,VILLERS-EN-CAUCHIES,
,,,,,,,,,,,,,WALLERS-EN-FAGNE,
,,,,,,,,,,,,,WIGNEHIES,
